genus,African,Australian,Holarctic,Indo-Malesian,Neovozealandic,Chile-Patagonian,Neotropical,Saharo-Arabian
Acacia,0.001846722,0.988919668,0.000923361,0.012003693,0.022160665,0,0,0
Alchemilla,0.04915912,0.001293661,0.824062096,0.010349288,0.001293661,0.006468305,0.077619664,0.07373868
Allium,0.003762935,0,0.837253057,0.019755409,0,0,0.028222013,0.290686736
Aloe,0.848797251,0,0,0.001718213,0,0,0,0.176975945
Anthurium,0,0,0,0,0,0,1,0
Ardisia,0.055934516,0.008185539,0.095497954,0.675306958,0.001364256,0,0.238744884,0.001364256
Aristolochia,0.029684601,0.027829314,0.252319109,0.209647495,0.003710575,0.003710575,0.52690167,0.035250464
Artemisia,0.012552301,0,0.889121339,0.108786611,0,0.0041841,0.041841004,0.217573222
Astragalus,0.001632387,0,0.692784851,0.014691479,0,0.021547502,0.060071825,0.361736859
Begonia,0.086249384,0.000492854,0.117792016,0.504189256,0.000492854,0,0.328733366,0.002957122
Berberis,0.001620746,0,0.580226904,0.152350081,0,0.037277147,0.267423015,0.081037277
Bulbophyllum,0.14199815,0.030064755,0.087881591,0.76919519,0.012488437,0,0.043478261,0.008788159
Carex,0.051941748,0.025728155,0.694174757,0.146601942,0.067961165,0.045145631,0.133980583,0.084951456
Centaurea,0.010512484,0,0.804204993,0.002628121,0,0,0,0.29434954
Coelogyne,0,0.005059022,0.123102867,0.971332209,0.005059022,0,0,0.013490725
Corydalis,0.001862197,0,0.942271881,0.137802607,0,0,0.009310987,0.104283054
Cousinia,0,0,0.628571429,0.004511278,0,0,0,0.485714286
Crotalaria,0.716901408,0.032394366,0.064788732,0.169014085,0,0.001408451,0.08028169,0.135211268
Croton,0.161879896,0.027850305,0.045256745,0.124456049,0.003481288,0.002610966,0.664926023,0.013925152
Cyperus,0.52,0.14,0.202105263,0.166315789,0.022105263,0.026315789,0.255789474,0.190526316
Cyrtandra,0,0.019145803,0.088365243,0.756995582,0.122238586,0.016200295,0,0
Delphinium,0.007662835,0,0.881226054,0.055555556,0,0,0.042145594,0.210727969
Dendrobium,0,0.082551595,0.083176986,0.91369606,0.025641026,0,0,0.013758599
Dioscorea,0.123222749,0.009478673,0.12164297,0.186413902,0,0.060031596,0.568720379,0.023696682
Diospyros,0.336340206,0.067010309,0.073453608,0.420103093,0.009020619,0,0.143041237,0.009020619
Elatostema,0.015432099,0.013888889,0.50154321,0.557098765,0.041666667,0,0,0.015432099
Epidendrum,0,0,0.004371585,0,0,0,1,0
Erica,0.973493976,0,0.022891566,0,0,0,0,0.01686747
Eucalyptus,0,0.967696629,0,0.014044944,0.043539326,0,0,0
Eugenia,0.127467105,0.036184211,0.006578947,0.042763158,0.000822368,0.000822368,0.791940789,0.000822368
Euphorbia,0.386653582,0.033366045,0.250736016,0.055937193,0.004906771,0.018645731,0.234052993,0.189401374
Festuca,0.049306626,0.004622496,0.608628659,0.047765794,0.016949153,0.040061633,0.249614792,0.146379045
Ficus,0.123303167,0.089366516,0.125565611,0.569004525,0.021493213,0.001131222,0.220588235,0.04638009
Galium,0.057542768,0.029548989,0.629860031,0.080870918,0.018662519,0.031104199,0.161741835,0.206842924
Habenaria,0.328843996,0.022446689,0.088664422,0.230078563,0.006734007,0.003367003,0.383838384,0.044893378
Helichrysum,0.816546763,0.010791367,0.104316547,0.010791367,0.007194245,0,0,0.098920863
Hypericum,0.04288499,0.003898635,0.588693957,0.109161793,0.007797271,0.003898635,0.272904483,0.157894737
Ilex,0.001785714,0.008928571,0.392857143,0.296428571,0.003571429,0.001785714,0.441071429,0.014285714
Impatiens,0.296129613,0,0.335733573,0.415841584,0,0,0.00270027,0.03060306
Indigofera,0.663923182,0.094650206,0.119341564,0.111111111,0.001371742,0.001371742,0.072702332,0.150891632
Ipomoea,0.248417722,0.068037975,0.082278481,0.074367089,0.009493671,0.009493671,0.648734177,0.090189873
Ixora,0.139285714,0.05,0.039285714,0.616071429,0.064285714,0.016071429,0.110714286,0.001785714
Justicia,0.271834061,0.003275109,0.050218341,0.133187773,0,0,0.560043668,0.037117904
Lepanthes,0,0,0,0,0,0,1,0
Lupinus,0.004966887,0,0.263245033,0,0,0.013245033,0.761589404,0.014900662
Masdevallia,0,0,0,0,0,0,1,0
Maxillaria,0,0,0.00308642,0,0,0,1,0
Miconia,0,0,0.000527704,0,0,0,1,0
Mimosa,0.056666667,0,0.031666667,0.006666667,0,0,0.933333333,0.003333333
Myrcia,0,0,0.001283697,0,0,0,1,0
Ocotea,0.077922078,0,0,0,0,0,0.920222635,0.001855288
Oxalis,0.3885918,0.016042781,0.060606061,0.019607843,0.010695187,0.094474153,0.486631016,0.007130125
Oxytropis,0,0,0.916938111,0.026058632,0,0,0,0.125407166
Palicourea,0,0,0,0,0,0,1,0
Pandanus,0.314782609,0.170434783,0.019130435,0.471304348,0.050434783,0.005217391,0,0.00173913
Passiflora,0,0.008591065,0.053264605,0.032646048,0.006872852,0.001718213,0.948453608,0
Pedicularis,0,0,0.887407407,0.171851852,0,0,0.017777778,0.084444444
Peperomia,0.042765502,0.009265859,0.027084818,0.074126871,0.028510335,0.011404134,0.831789024,0.003563792
Philodendron,0,0,0,0,0,0,1,0
Phyllanthus,0.259953162,0.183840749,0.058548009,0.245901639,0.011709602,0.003512881,0.296252927,0.028103044
Pilea,0.069421488,0,0.157024793,0.196694215,0.008264463,0.008264463,0.646280992,0.00661157
Piper,0.004161465,0.00707449,0.030378693,0.183520599,0.006658344,0.000416146,0.791094465,0.000416146
Pleurothallis,0,0,0,0,0,0,1,0
Poa,0.036521739,0.064347826,0.486956522,0.147826087,0.093913043,0.076521739,0.212173913,0.140869565
Polygala,0.300898204,0.064371257,0.202095808,0.086826347,0,0.025449102,0.362275449,0.088323353
Potentilla,0.006012024,0.002004008,0.881763527,0.072144289,0,0,0.076152305,0.200400802
Primula,0,0,0.929791271,0.223908918,0,0.003795066,0.007590133,0.081593928
Psychotria,0.311180124,0.049068323,0.02484472,0.291925466,0.062111801,0.008074534,0.267080745,0.001242236
Quercus,0,0,0.52238806,0.249466951,0,0,0.39445629,0.078891258
Ranunculus,0.015588915,0.019630485,0.843533487,0.050808314,0.04330254,0.012124711,0.040415704,0.090069284
Rhododendron,0,0.001843318,0.653456221,0.49124424,0,0,0,0.00921659
Salix,0.010638298,0,0.925531915,0.082978723,0,0.00212766,0.042553191,0.093617021
Salvia,0.035502959,0.000986193,0.327416174,0.026627219,0,0.003944773,0.614398422,0.123274162
Saxifraga,0.002105263,0,0.903157895,0.221052632,0,0.004210526,0.004210526,0.164210526
Senecio,0.309752747,0.054945055,0.126373626,0.036401099,0.028159341,0.181318681,0.342032967,0.044642857
Solanum,0.080357143,0.157467532,0.051136364,0.068993506,0.008928571,0.041396104,0.671266234,0.035714286
Stelis,0,0,0.000749064,0,0,0,1,0
Syzygium,0.060260586,0.139250814,0.061889251,0.760586319,0.038273616,0,0,0.002442997
Tillandsia,0,0,0.019847328,0,0,0.016793893,0.995419847,0
Vaccinium,0.006382979,0.006382979,0.29787234,0.64893617,0.006382979,0.00212766,0.138297872,0.004255319
Verbascum,0.038793103,0,0.788793103,0.004310345,0,0,0,0.30387931
Vernonia,0.656716418,0.002985075,0.068656716,0.197014925,0,0,0.059701493,0.062686567
Viola,0.010638298,0.018237082,0.67781155,0.082066869,0.015197568,0.11550152,0.141337386,0.08662614
